,sicbro_id,RA_DEG,DEC_DEG,MEAN_XCOL,MEAN_YCOL,F062,F087,F106,F129,F158,F184,F213,F146,transitHost,dimEB,blendedEB,lowmassEB,lowRedNoise,hiRedNoise,variable,F087_flux,F087_flux_err,F146_flux,F146_flux_err,F213_flux,F213_flux_err
59,17182,268.4873261552926,-29.20481125156328,1797.5795232683531,1894.8994526198903,18.2326,17.8065,17.7021,17.5978,17.6133,17.7775,17.9418,17.6728,0,0,0,0,0,0,0,7813.518920742206,88.39411134652696,8837.443864059811,94.00767981425672,6898.055243998208,83.0545317487144
60,17624,268.4877717887107,-29.2071885339704,1847.6906481775625,1831.5620423573705,26.6082,24.7893,24.0439,23.2984,23.0617,23.098,23.1343,23.1709,0,0,0,0,0,0,0,12.58133331389177,3.547017523764405,55.85816546123236,7.473832046629918,57.77323256577404,7.600870513682892
61,17899,268.49090967569146,-29.202927349840373,1856.2082708064345,2004.164439846284,26.1155,24.4171,23.6984,22.9798,22.7803,22.8321,22.8838,22.8808,0,0,0,0,0,0,0,17.72583360293145,4.210205886050164,72.96702979223483,8.542074091942473,72.76569272367509,8.530280928766361
62,18473,268.489317421378,-29.206398977394716,1873.354038218835,1878.011783218602,26.5922,24.8879,24.1593,23.4307,23.2256,23.2719,23.3182,23.3261,0,0,0,0,0,0,0,11.48911742407425,3.3895600635000185,48.41798016162108,6.958302965639041,48.77156236472742,6.983663964190103
63,18590,268.48898359183784,-29.205819397831142,1855.512127650876,1890.0746119900723,24.31,22.9016,22.313,21.7244,21.4807,21.5673,21.654,21.6128,0,0,0,0,0,0,0,71.582468058817,8.460642295879019,234.5992763517975,15.31663397590337,225.86381954671512,15.02876640136226
64,18591,268.4959977265535,-29.204094609647548,2002.4501759759692,2046.1258544978973,23.7757,22.4296,21.8202,21.2108,20.9934,21.0789,21.1645,21.1146,0,0,0,0,0,0,0,110.56219906113195,10.514856112241002,371.19888938239103,19.266522503617278,354.5248387402481,18.828829988617137
65,19415,268.4882493896697,-29.206549950057703,1849.1503406705976,1857.5386034462688,24.1308,22.7312,22.1595,21.5879,21.3411,21.4275,21.5139,21.4744,0,0,0,0,0,0,0,83.74650047075814,9.151311407156799,266.49352912608225,16.324629524925896,256.9725109496433,16.03036215902945
66,20269,268.49393260255545,-29.20301856963057,1933.219540458417,2046.8365678358728,26.2146,24.5194,23.823,23.1266,22.9163,22.9663,23.0163,23.0204,0,0,0,0,0,0,0,16.131942603744,4.016458963283952,64.1632964517706,8.010199526339566,64.40605048987884,8.025338029633321
67,20415,268.49117171451104,-29.20593398741907,1912.0502101186603,1919.532302560116,27.6263,25.6969,24.8422,23.9875,23.7696,23.8035,23.8373,23.8703,0,0,0,0,0,0,0,5.4536425340190195,2.335303520748217,29.330986374137723,5.415808930726574,30.23616232041045,5.4987418852325165
68,20593,268.490482820209,-29.20614777875346,1898.3468854139617,1902.8980204318195,22.3882,21.2074,20.7213,20.2352,19.9444,20.0427,20.141,20.1,0,0,0,0,0,0,0,340.7898631689025,18.460494662085914,945.0323342847577,30.74137821056105,910.0110547896754,30.1663894887949
69,21389,268.4927958062753,-29.208327837293677,1991.8682983278557,1873.387022736963,26.7096,24.9523,24.1417,23.3311,23.1277,23.1631,23.1985,23.2232,0,0,0,0,0,0,0,10.827461998595933,3.290510902366976,53.231250436489724,7.295974947633094,54.45611668192132,7.379438778248744
70,23573,268.4921862159336,-29.206855700943848,1952.504555151556,1907.6043430454613,23.4957,22.2336,21.7624,21.2913,21.0119,21.101,21.1902,21.1593,0,0,0,0,1,0,1,132.43618692702105,11.508092236640314,356.22686441437213,18.873973201590918,346.23157245194005,18.607298902633342
71,23790,268.4906289961128,-29.209738240925528,1960.8670394286964,1799.3303217339462,23.4499,22.1771,21.6816,21.1861,20.9427,21.0302,21.1177,21.075,0,0,0,0,0,0,0,139.51042706023122,11.81145321542744,384.9875348747948,19.621099226974895,370.1405518706804,19.239037186685835
72,23982,268.488447108036,-29.20835098010667,1883.6196488619871,1807.4546771122511,26.4936,24.821,24.0734,23.3258,23.1484,23.1975,23.2465,23.239,0,0,0,0,0,0,0,12.219309586196815,3.4956129056571488,52.46222046269161,7.243080868159047,52.101073077296135,7.218107305748242
73,24353,268.4895014243446,-29.202956857684228,1821.5129507535216,1982.163702861506,26.5987,24.8962,24.1395,23.3827,23.1766,23.2193,23.2621,23.2761,0,0,0,0,0,0,0,11.401622774104593,3.37662890678034,50.69984926619557,7.120382662904823,51.35783032611412,7.166437771034792
74,24848,268.4919082989281,-29.204803093981344,1911.9085903978587,1963.8965449913412,22.6814,21.5458,21.0859,20.626,20.3548,20.4539,20.5531,20.5029,0,0,0,0,0,0,0,249.53224170229663,15.796589559214882,652.0586614938674,25.535439324473494,622.596490302236,24.951883502097314
75,25299,268.49394750957714,-29.203289931878828,1938.040931562534,2039.066830598219,22.5433,21.4442,21.0062,20.5681,20.275,20.3805,20.4861,20.4345,1,0,0,0,1,0,1,274.0101611752598,16.553252283924746,694.4590919919053,26.352591750943688,662.2266714417714,25.733765201419153
76,25349,268.4880315814524,-29.204809460483936,1815.1716668805232,1905.5376949453905,19.041,18.5578,18.4283,18.2987,18.2595,18.411,18.5625,18.3358,0,0,0,0,0,0,0,3911.349895640308,62.54078585723327,4798.733901140975,69.27289441867559,3894.4548042550805,62.405567093449925
